id,Scientific_Name,Control_Experimental,Common_Name,Plant_Type,week,measurement_cm
16,narcissus pseudonarcissus,control,daffodil,monocot,4,1.65
17,narcissus pseudonarcissus,experimental,daffodil,monocot,4,2.05
18,ocimum basilicum,control,basil,dicot,4,2.7
19,ocimum basilicum,experimental,basil,dicot,4,0.75
20,petunia integrifolia,control,petunia,dicot,4,1.615
21,petunia integrifolia,experimental,petunia,dicot,4,2
22,secale cereale,control,rye,monocot,4,2.65
23,secale cereale,experimental,rye,monocot,4,2.05
24,solanum lycopersicum,control,tomato,dicot,4,2.8
25,solanum lycopersicum,experimental,tomato,dicot,4,1.2
26,triticum aestivum,control,wheat,monocot,4,2.175
27,triticum aestivum,experimental,wheat,monocot,4,2.1
28,zea mays,control,maize,monocot,4,2.7
29,zea mays,experimental,maize,monocot,4,1.5
